category,id,name,description,price,price_full,available,show,tags,image_url,notes
Devilled Dishes,devilled-sausage,Sausage,,1000,,TRUE,TRUE,,,
Devilled Dishes,devilled-beef,Beef,,1500,,TRUE,TRUE,,,
Devilled Dishes,devilled-pork,Pork,,1550,,TRUE,TRUE,,,
Devilled Dishes,devilled-gizzard,Gizzard,,900,,TRUE,TRUE,,,
Stew,stew-chicken,Chicken,,1000,,TRUE,TRUE,,,
Stew,stew-fish,Fish,,1100,,TRUE,TRUE,,,
Stew,stew-gizzard,Gizzard,,900,,TRUE,TRUE,,,
Stew,stew-beef,Beef,,1500,,TRUE,TRUE,,,
Stew,stew-pork,Pork,,1550,,TRUE,TRUE,,,
Fried,fried-chicken,Chicken,,1000,,TRUE,TRUE,,,
Fried,fried-fish,Fish,,1100,,TRUE,TRUE,,,
Fried,fried-gizzard,Gizzard,,900,,TRUE,TRUE,,,
Fried,fried-french-fries,French Fries,,1200,,TRUE,TRUE,,,
Fried,fried-sausage,Sausage,,1000,,TRUE,TRUE,,,
Pepper Fried,pepper-fried-chicken,Chicken,,1000,,TRUE,TRUE,,,
Pepper Fried,pepper-fried-fish,Fish,,1100,,TRUE,TRUE,,,
Pepper Fried,pepper-fried-gizzard,Gizzard,,900,,TRUE,TRUE,,,
Pepper Fried,pepper-fried-beef,Beef,,1500,,TRUE,TRUE,,,
Pepper Fried,pepper-fried-pork,Pork,,1500,,TRUE,TRUE,,,
Breakfast,breakfast-chicken,Chicken,Rice and curry,480,,TRUE,TRUE,,,
Breakfast,breakfast-fish,Fish,Rice and curry,450,,TRUE,TRUE,,,
Breakfast,breakfast-egg,Egg,Rice and curry,400,,TRUE,TRUE,,,
Breakfast,breakfast-vegetable,Vegetable,Rice and curry,350,,TRUE,TRUE,,,
Lunch,lunch-chicken,Chicken,Rice and curry,580,,TRUE,TRUE,,,
Lunch,lunch-fish,Fish,Rice and curry,500,,TRUE,TRUE,,,
Lunch,lunch-egg,Egg,Rice and curry,450,,TRUE,TRUE,,,
Lunch,lunch-vegetable,Vegetable,Rice and curry,400,,TRUE,TRUE,,,
Add-ons,addon-bullseye-egg,Bullseye Egg,,80,,TRUE,TRUE,,,
Add-ons,addon-boiled-egg,Boiled Egg,,70,,TRUE,TRUE,,,
Add-ons,addon-omelette,Omelette,,100,,TRUE,TRUE,,,
Add-ons,addon-fried-egg,Fried Egg,,80,,TRUE,FALSE,,,Hidden until the client confirms how it differs from Bullseye Egg
Add-ons,addon-extra-curry,Extra Curry,,100,,TRUE,TRUE,,,
Add-ons,addon-pol-sambol,Pol Sambol,,40,,TRUE,TRUE,,,
Add-ons,addon-dhal-curry,Dhal Curry,,80,,TRUE,TRUE,,,
Add-ons,addon-chicken-curry,Chicken Curry,,200,,TRUE,TRUE,,,
Add-ons,addon-fish-curry,Fish Curry,,240,,TRUE,TRUE,,,
Add-ons,addon-fish-white-curry,Fish White Curry,,230,,TRUE,TRUE,,,
Add-ons,addon-fried-fish,Fried Fish,,250,,TRUE,TRUE,,,
Add-ons,addon-string-hoppers,String Hoppers,10 pieces,110,,TRUE,TRUE,,,
Add-ons,addon-hopper,Hopper,,30,,TRUE,TRUE,,,
Add-ons,addon-egg-hopper,Egg Hopper,,100,,TRUE,TRUE,,,
Add-ons,addon-parata,Parata,,50,,TRUE,TRUE,,,
Add-ons,addon-egg-roti,Egg Roti,,100,,TRUE,TRUE,,,
Add-ons,addon-gravy,Gravy,,70,,TRUE,TRUE,,,
Add-ons,addon-plain-noodles,Plain Noodles,,150,,TRUE,TRUE,,,
Add-ons,addon-fried-chicken,Fried Chicken,,250,,TRUE,TRUE,,,
Short Eats,short-eats-chicken-roll,Chicken Roll,,,,TRUE,TRUE,,,No price on the handwritten list. Confirm.
Short Eats,short-eats-egg-pastry,Egg Pastry,,130,,TRUE,TRUE,,,
Short Eats,short-eats-fish-pastry,Fish Pastry,,140,,TRUE,TRUE,,,
Short Eats,short-eats-parippu-wade,Parippu Wade,,60,,TRUE,TRUE,,,
Short Eats,short-eats-udu-wade,Udu Wade,,80,,TRUE,TRUE,,,
Short Eats,short-eats-fish-bun,Fish Bun,,60,,TRUE,TRUE,,,
Short Eats,short-eats-tea-bun,Tea Bun,,70,,TRUE,TRUE,,,
Short Eats,short-eats-chicken-bun,Chicken Bun,,80,,TRUE,TRUE,,,
Short Eats,short-eats-egg-bun,Egg Bun,,140,,TRUE,TRUE,,,
Short Eats,short-eats-egg-patties,Egg Patties,,90,,TRUE,TRUE,,,
Short Eats,short-eats-fish-roll,Fish Roll,,100,,TRUE,TRUE,,,
Short Eats,short-eats-chicken-pastry,Chicken Pastry,,160,,TRUE,TRUE,,,
Short Eats,short-eats-chicken-shawarma,Chicken Shawarma,,250,,TRUE,TRUE,,,
Short Eats,short-eats-seeni-sambol-bun,Seeni Sambol Bun,,80,,TRUE,TRUE,,,
Short Eats,short-eats-devilled-chicken-bun,Devilled Chicken Bun,,,,TRUE,TRUE,,,No price on the handwritten list. Confirm.
Short Eats,short-eats-crocodile-bun,Crocodile Bun,,80,,TRUE,TRUE,,,
Short Eats,short-eats-sausage-bun,Sausage Bun,,100,,TRUE,TRUE,,,
